state_hiu,Notes1,dia,coder1_date ,lat_long_src_id,apprv_date ,coder2_date ,mil_use,site_cat,site_sgnf,FID_OLD,hist_affl,coder1,Notes2,KHChanges,formal_name,nga,cat_code_old,cultrl_affl_1,geo_src,Governorate,name_src,sit_prec,source_id,Religion,PennContai,Ethnicity,PlyContain,PtContaine,Language,apprv,lat,aaas,long,cultrl_affl_2,osm,coder2,Hst 2,OBJECTID_OLD,Hst 1,state_affl,nearest_neighbor,nearest_neighbor_distance
, ,,31-Aug-2016,226862712,,,,Archaeological Site,,968,MD03,SRW001,1, ,Tell Sheikh Hamad Ruins (Dur Katlimmu),,1,M010,OSM_Polygon,,Penn,,AAASSYR00969,,1,Arab,0,0,Arabic,,35.6456927498,1,40.7432009502,MH11,,,,969,Ancient Mesopotamia - Assyrian,,SHIUSYR1035,0.154359
,,,31-Aug-2016,325782093,,,,Archaeological Site,,28,MD03,SRW001,1, ,Tell Tuneinir,,1,M010,OSM_Polygon,,OSM_Polygon,,AAASSYR00029,,0,Arab,1,0,Arabic,,36.4212346501,1,40.8672128996,MH11,1,,,29,Ancient Mesopotamia – Assyrian,,AAASSYR03056,1.052974
,,,31-Aug-2016,760SY0112,,,,Archaeological Site,,2826,MD03,SRW001,1, ,Tell Barri (Kahat),,1,M010,Penn,,Penn,,AAASSYR02827,Mesopotamian,0,Arab,0,0,Arabic,,35.6862220001,1,36.5306810003,,,,,2827,Ancient Mesopotamia – Sumerian & Akkadian,,DIASYR0184,0.000056
, ,,31-Aug-2016,188241429,,,,Archaeological Site,,922,MD03,SRW001,1, ,Tell Shayukh al-Fawqani (Burmarina) / Jarabulus,,1,M010,OSM_Polygon,,Penn,,AAASSYR00923,,1,Arab,0,0,Arabic,,36.7875555496,1,38.0360199498,,,,,923,Bronze Age,,SHIUSYR1034,0.008578
,,,31-Aug-2016,326459614,,,,Archaeological Site,,1030,MD03,SRW001,1, ,Kharab Jil,,1,M010,OSM_Polygon,,OSM_Polygon,,AAASSYR01031,,0,Arab,0,0,Arabic,,36.8290441499,1,38.4610869013,,1,,,1031,Bronze Age,,OSM3586518291,0.022272
,,,31-Aug-2016,143095015,,,,Archaeological Site,,849,M003,SRW001,1, ,Halebiye Palmyrene and Byzantine Ruins,,1,M010,OSM_Polygon,,Penn,,AAASSYR00850,,1,Arab,0,1,Arabic,,35.6894697996,1,39.8217433499,,,,Medieval – Byzantine ,850,Classical Antiquity,,SHIUSYR0663,0.029545
, ,,31-Aug-2016,334190806,,,,Religious Site,,783,M003,SRW001,1, ,Salamiyah Central Mosque and Shrine,,9,M010,OSM_Polygon,,Penn,,AAASSYR00784,Shia,1,Arab,0,0,Arabic,,35.0110068002,1,37.0538838999,,,,Medieval – Byzantine ,784,Classical Antiquity - Greco Roman,,SHIUSYR0946,0.025442
,,,31-Aug-2016,760SY0470,,,,Archaeological Site,,3066,M003,SRW001,1, ,Baghuz Erzi Funerary Tower,,1,M010,Penn,,Penn,,AAASSYR03067,,0,Arab,0,0,Arabic,,34.4472579999,1,40.9773690001,,,,,3067,Classical Antiquity – Greco-Roman,,SHIUSYR0262,0.160398
, ,,31-Aug-2016,203921367,,,,Religious Site,,367,M003,SRW001,0, ,"Um al Zennar-Saint Mary Church of the Holy Belt Church, Homs",,9,MH11,OSM_Polygon,Homs,Penn,,AAASSYR00368,Syriac Orthodox Church ,1,,0,0,Western Aramaic,,34.72917445,1,36.71978105,,,,,368,Classical Antiquity – Greco-Roman (consecrated over the ruins of 50 AD),,SHIUSYR0696,0.020090
, ,,31-Aug-2016,760PCHC1413,,,,Archaeological Site,,2958,M003,SRW001,1, ,Kalota Dead City Castle,,1,M010,Penn,,Penn,,AAASSYR02959,,0,Arab,0,0,Arabic,,36.3527329997,1,36.9363640002,,,,Medieval – Byzantine ,2959,Classical Antiquity – Roman,,SHIUSYR0734,0.537630
, ,,31-Aug-2016,113861419,,,,Archaeological Site,,814,M003,SRW001,1, ,Ain Diwar Bridge,,1,M010,OSM_Polygon,,Penn,,AAASSYR00815,,1,Arab,0,1,Arabic,,37.3144582004,1,42.2157221006,,,,,815,Classical Antiquity – Roman,,OSM2083902796,0.011365
,,,31-Aug-2016,760SY0110,,,,Archaeological Site,,2919,M003,SRW001,1, ,Meez Dead City,,1,M010,Penn,,Penn,,AAASSYR02920,,0,Arab,0,0,Arabic,,36.145508,1,36.6671419995,,,,,2920,Classical Antiquity – Roman,,DIASYR0182,0.000081
,,,31-Aug-2016,760SY0568,,,,Archaeological Site,,3076,M003,SRW001,1, ,Hayyat Roman Town,,1,M010,Penn,,Penn,,AAASSYR03077,,0,Arab,0,0,Arabic,,32.9395559998,1,36.6549280002,,,,,3077,Classical Antiquity – Roman,,SHIUSYR0689,0.000000
,,,31-Aug-2016,760SY0642,,,,Archaeological Site,,3108,M003,SRW001,1, ,Isriya Roman Temple,,1,M010,Penn,,Penn,,AAASSYR03109,,0,Arab,0,0,Arabic,,35.3659568896,1,37.7859908105,,,,,3109,Classical Antiquity – Roman,,DIASYR0469,0.490838
,,,31-Aug-2016,760SY0607,,,,Archaeological Site,,3119,M003,SRW001,1, ,Jebel Sheikh Barakat Dead City / Qatura,,1,M010,Penn,,Penn,,AAASSYR03120,,0,Arab,0,0,Arabic,,36.275964,1,36.8141689996,,,,,3120,Classical Antiquity – Roman,,SHIUSYR0756,0.000000
, ,,31-Aug-2016,760SY0308,,,,Historic Structure,,2691,M002,SRW001,1, ,Damascus Hijaz Railway Station Historic Building,,5,M014,Penn,,Penn,,AAASSYR02692,Islamic (Sunni),0,Arab,0,0,Arabic,,33.5112250001,1,36.2949059997,M010,,,Modern –Ba’thist Republic of Syria ,2692,Early Modern - Jalili Period,,SHIUSYR0419,0.000000
, ,,31-Aug-2016,203427241,,,,Religious Site,,928,M002,SRW001,1, ,Karakozak Tomb of Suleyman Shah (in 2015 Turkey moved this site),,9,M010,OSM_Polygon,,Penn,,AAASSYR00929,,1,Turkish,0,0,Turkish,,36.63878595,1,38.20750145,,,,Medieval - Islamic,929,Early Modern - Ottoman Empire,,NGASYR4900,0.014418
, ,,31-Aug-2016,760SY0012,,,,Museum,,2667,M002,SRW001,1, ,Hama National Museum,,8,M010,Penn,,Penn,,AAASSYR02668,Islamic,0,Arab,0,0,Arabic,,35.1400889995,1,36.7541439997,,,,Modern - Ba'thist Republic of Syria,2668,Early Modern – Jalili Period,,DIASYR0130,0.000196
, ,,31-Aug-2016,150145663,,,,Religious Site,,118,M002,SRW001,1, ,Al Atassi Mosque,,9,M010,OSM_Polygon,,OSM_Polygon,,AAASSYR00119,Islam ,0,Arab,0,0,Arabic,,34.7232708498,1,36.7120243999,,1,,,119,Early Modern – Jalili Period ,,NGASYR0173,0.010988
