source_id,formal_name,lat,long,sit_prec,geo_src,lat_long_src_id,name_src,site_cat,hist_affl,state_affl,cultrl_affl_1,cultrl_affl_2,site_sgnf,mil_use,aaas,state_hiu,nga,dia,osm,coder1,coder1_date ,coder2,coder2_date ,apprv,apprv_date ,Notes1,Notes2,KHChanges,Hst 1,Hst 2,Religion,Language,Ethnicity,Governorate,FID_OLD,OBJECTID_OLD,PlyContain,PtContaine,PennContai,cat_code_old
AAASSYR00969,Tell Sheikh Hamad Ruins (Dur Katlimmu),35.6456927498,40.7432009502,,OSM_Polygon,226862712,Penn,Archaeological Site,MD03,,M010,MH11,,,1,,,,,SRW001,31-Aug-2016,,,,, ,1, ,Ancient Mesopotamia - Assyrian,,,Arabic,Arab,,968,969,0,0,1,1
AAASSYR00029,Tell Tuneinir,36.4212346501,40.8672128996,,OSM_Polygon,325782093,OSM_Polygon,Archaeological Site,MD03,,M010,MH11,,,1,,,,1,SRW001,31-Aug-2016,,,,,,1, ,Ancient Mesopotamia – Assyrian,,,Arabic,Arab,,28,29,1,0,0,1
AAASSYR02827,Tell Barri (Kahat),35.6862220001,36.5306810003,,Penn,760SY0112,Penn,Archaeological Site,MD03,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,,,1, ,Ancient Mesopotamia – Sumerian & Akkadian,,Mesopotamian,Arabic,Arab,,2826,2827,0,0,0,1
AAASSYR00923,Tell Shayukh al-Fawqani (Burmarina) / Jarabulus,36.7875555496,38.0360199498,,OSM_Polygon,188241429,Penn,Archaeological Site,MD03,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,1, ,Bronze Age,,,Arabic,Arab,,922,923,0,0,1,1
AAASSYR01031,Kharab Jil,36.8290441499,38.4610869013,,OSM_Polygon,326459614,OSM_Polygon,Archaeological Site,MD03,,M010,,,,1,,,,1,SRW001,31-Aug-2016,,,,,,1, ,Bronze Age,,,Arabic,Arab,,1030,1031,0,0,0,1
AAASSYR00850,Halebiye Palmyrene and Byzantine Ruins,35.6894697996,39.8217433499,,OSM_Polygon,143095015,Penn,Archaeological Site,M003,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,,,1, ,Classical Antiquity,Medieval – Byzantine ,,Arabic,Arab,,849,850,0,1,1,1
AAASSYR00784,Salamiyah Central Mosque and Shrine,35.0110068002,37.0538838999,,OSM_Polygon,334190806,Penn,Religious Site,M003,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,1, ,Classical Antiquity - Greco Roman,Medieval – Byzantine ,Shia,Arabic,Arab,,783,784,0,0,1,9
AAASSYR03067,Baghuz Erzi Funerary Tower,34.4472579999,40.9773690001,,Penn,760SY0470,Penn,Archaeological Site,M003,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,,,1, ,Classical Antiquity – Greco-Roman,,,Arabic,Arab,,3066,3067,0,0,0,1
AAASSYR00368,"Um al Zennar-Saint Mary Church of the Holy Belt Church, Homs",34.72917445,36.71978105,,OSM_Polygon,203921367,Penn,Religious Site,M003,,MH11,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,0, ,Classical Antiquity – Greco-Roman (consecrated over the ruins of 50 AD),,Syriac Orthodox Church ,Western Aramaic,,Homs,367,368,0,0,1,9
AAASSYR02959,Kalota Dead City Castle,36.3527329997,36.9363640002,,Penn,760PCHC1413,Penn,Archaeological Site,M003,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,1, ,Classical Antiquity – Roman,Medieval – Byzantine ,,Arabic,Arab,,2958,2959,0,0,0,1
AAASSYR00815,Ain Diwar Bridge,37.3144582004,42.2157221006,,OSM_Polygon,113861419,Penn,Archaeological Site,M003,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,1, ,Classical Antiquity – Roman,,,Arabic,Arab,,814,815,0,1,1,1
AAASSYR02920,Meez Dead City,36.145508,36.6671419995,,Penn,760SY0110,Penn,Archaeological Site,M003,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,,,1, ,Classical Antiquity – Roman,,,Arabic,Arab,,2919,2920,0,0,0,1
AAASSYR03077,Hayyat Roman Town,32.9395559998,36.6549280002,,Penn,760SY0568,Penn,Archaeological Site,M003,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,,,1, ,Classical Antiquity – Roman,,,Arabic,Arab,,3076,3077,0,0,0,1
AAASSYR03109,Isriya Roman Temple,35.3659568896,37.7859908105,,Penn,760SY0642,Penn,Archaeological Site,M003,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,,,1, ,Classical Antiquity – Roman,,,Arabic,Arab,,3108,3109,0,0,0,1
AAASSYR03120,Jebel Sheikh Barakat Dead City / Qatura,36.275964,36.8141689996,,Penn,760SY0607,Penn,Archaeological Site,M003,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,,,1, ,Classical Antiquity – Roman,,,Arabic,Arab,,3119,3120,0,0,0,1
AAASSYR02692,Damascus Hijaz Railway Station Historic Building,33.5112250001,36.2949059997,,Penn,760SY0308,Penn,Historic Structure,M002,,M014,M010,,,1,,,,,SRW001,31-Aug-2016,,,,, ,1, ,Early Modern - Jalili Period,Modern –Ba’thist Republic of Syria ,Islamic (Sunni),Arabic,Arab,,2691,2692,0,0,0,5
AAASSYR00929,Karakozak Tomb of Suleyman Shah (in 2015 Turkey moved this site),36.63878595,38.20750145,,OSM_Polygon,203427241,Penn,Religious Site,M002,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,1, ,Early Modern - Ottoman Empire,Medieval - Islamic,,Turkish,Turkish,,928,929,0,0,1,9
AAASSYR02668,Hama National Museum,35.1400889995,36.7541439997,,Penn,760SY0012,Penn,Museum,M002,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,1, ,Early Modern – Jalili Period,Modern - Ba'thist Republic of Syria,Islamic,Arabic,Arab,,2667,2668,0,0,0,8
AAASSYR00119,Al Atassi Mosque,34.7232708498,36.7120243999,,OSM_Polygon,150145663,OSM_Polygon,Religious Site,M002,,M010,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,1, ,Early Modern – Jalili Period ,,Islam ,Arabic,Arab,,118,119,0,0,0,9
AAASSYR01532,Aleppo al-Sahibiye (al-Fustuq) Madrasa and Mosque,36.1996854001,37.1585323002,,OSM_Points,1839847706,OSM_Points,Religious Site,M002,,M010,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,1, ,Early Modern – Ottoman Empire,Medieval – Islamic – Mamluks,Islamic,Arabic,Arab,,1531,1532,0,0,1,9
AAASSYR02709,Damascus Mosque al-Mu'allaq and Madrasa Sibaiye/ Darwishieh Mosque,33.5084719997,36.3010189996,,Penn,760PCHC935,Penn,Religious Site,M002,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,1, ,Early Modern – Ottoman Empire,Modern –Ba’thist Republic of Syria,Islamic,Arabic,Arab,,2708,2709,0,0,0,9
AAASSYR00229,Aleppo Mosque al-Bahramiya,36.19821625,37.1546458,,OSM_Polygon,203436263,Penn,Religious Site,M002,,M010,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,0, ,Early Modern – Ottoman Empire,,Islam,Arabic,Arab,Aleppo,228,229,0,0,1,9
AAASSYR00632,Abo Baker,36.4114986996,37.5807016998,,OSM_Polygon,207088570,OSM_Polygon,Religious Site,M002,,M016,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,1, ,Early Modern – Ottoman Empire,,Sufi,Arabic,Arab,,631,632,0,0,0,9
AAASSYR00224,Aleppo Zawiya al-Hilaliya (Hilaliyya Zaiya),36.19631,37.1543374,,OSM_Polygon,203435709,Penn,Religious Site,M002,,M016,,,,1,,,,,SRW001,31-Aug-2016,,,,, ,0, ,Early Modern – Ottoman Empire,,Sufi,Arabic/Kurdish?,Arab /Kurds?,Aleppo,223,224,0,0,1,9
